State,URL,WEBSITE,AcLevNum,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Level 2,Minimal,Oct-14-2017,41,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Level 2,Minimal,Oct-21-2017,42,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Level 3,Minimal,Oct-28-2017,43,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Level 4,Low,Nov-04-2017,44,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Level 4,Low,Nov-11-2017,45,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,5,Level 5,Low,Nov-18-2017,46,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,5,Level 5,Low,Nov-25-2017,47,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,5,Level 5,Low,Dec-02-2017,48,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,7,Level 7,Moderate,Dec-09-2017,49,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Dec-16-2017,50,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Dec-23-2017,51,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Dec-30-2017,52,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Jan-06-2018,1,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Jan-13-2018,2,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Jan-20-2018,3,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Jan-27-2018,4,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Feb-03-2018,5,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Feb-10-2018,6,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Feb-17-2018,7,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,10,Level 10,High,Feb-24-2018,8,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,7,Level 7,Moderate,Mar-03-2018,9,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,5,Level 5,Low,Mar-10-2018,10,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Level 4,Low,Mar-17-2018,11,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Level 4,Low,Mar-24-2018,12,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Level 3,Minimal,Mar-31-2018,13,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,2,Level 2,Minimal,Apr-07-2018,14,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,1,Level 1,Minimal,Apr-14-2018,15,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,1,Level 1,Minimal,Apr-21-2018,16,2017-18
Alabama,http://adph.org/influenza/,Influenza Surveillance,1,Level 1,Minimal,Apr-28-2018,17,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,4,Level 4,Low,Apr-28-2018,17,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,7,Level 7,Moderate,Apr-21-2018,16,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,7,Level 7,Moderate,Apr-14-2018,15,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Apr-07-2018,14,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Mar-31-2018,13,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Mar-24-2018,12,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Mar-17-2018,11,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Mar-10-2018,10,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Mar-03-2018,9,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Feb-24-2018,8,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Feb-17-2018,7,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Feb-10-2018,6,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,10,Level 10,High,Feb-03-2018,5,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,8,Level 8,High,Jan-27-2018,4,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,6,Level 6,Moderate,Jan-20-2018,3,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,6,Level 6,Moderate,Jan-13-2018,2,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,6,Level 6,Moderate,Jan-06-2018,1,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,7,Level 7,Moderate,Dec-30-2017,52,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,6,Level 6,Moderate,Dec-23-2017,51,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,5,Level 5,Low,Dec-16-2017,50,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,6,Level 6,Moderate,Dec-09-2017,49,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,5,Level 5,Low,Dec-02-2017,48,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,4,Level 4,Low,Nov-25-2017,47,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,4,Level 4,Low,Nov-18-2017,46,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,2,Level 2,Minimal,Nov-11-2017,45,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,2,Level 2,Minimal,Nov-04-2017,44,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,3,Level 3,Minimal,Oct-28-2017,43,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,4,Level 4,Low,Oct-21-2017,42,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,2,Level 2,Minimal,Oct-14-2017,41,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,1,Level 1,Minimal,Oct-07-2017,40,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,2,Level 2,Minimal,Oct-07-2017,40,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,2,Level 2,Minimal,Oct-14-2017,41,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,1,Level 1,Minimal,Oct-21-2017,42,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,2,Level 2,Minimal,Oct-28-2017,43,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,3,Level 3,Minimal,Nov-04-2017,44,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,3,Level 3,Minimal,Nov-11-2017,45,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,3,Level 3,Minimal,Nov-18-2017,46,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,3,Level 3,Minimal,Nov-25-2017,47,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,6,Level 6,Moderate,Dec-02-2017,48,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,6,Level 6,Moderate,Dec-09-2017,49,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Dec-16-2017,50,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Dec-23-2017,51,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Dec-30-2017,52,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Jan-06-2018,1,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Jan-13-2018,2,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Jan-20-2018,3,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Jan-27-2018,4,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Feb-03-2018,5,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Feb-10-2018,6,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Feb-17-2018,7,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,10,Level 10,High,Feb-24-2018,8,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,9,Level 9,High,Mar-03-2018,9,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,8,Level 8,High,Mar-10-2018,10,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,7,Level 7,Moderate,Mar-17-2018,11,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,6,Level 6,Moderate,Mar-24-2018,12,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,6,Level 6,Moderate,Mar-31-2018,13,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,5,Level 5,Low,Apr-07-2018,14,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,6,Level 6,Moderate,Apr-14-2018,15,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,5,Level 5,Low,Apr-21-2018,16,2017-18
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,5,Level 5,Low,Apr-28-2018,17,2017-18
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,2,Level 2,Minimal,Apr-28-2018,17,2017-18
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,1,Level 1,Minimal,Apr-21-2018,16,2017-18
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,1,Level 1,Minimal,Apr-14-2018,15,2017-18
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,1,Level 1,Minimal,Apr-07-2018,14,2017-18
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,1,Level 1,Minimal,Mar-31-2018,13,2017-18
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,2,Level 2,Minimal,Mar-24-2018,12,2017-18
