State,AcLevNum,ACTIVITY_LEVEL_LABEL,WEEKEND,WEEK
Alabama,10,High,Jan-06-2018,1
Alabama,10,High,Jan-13-2018,2
Alabama,10,High,Jan-20-2018,3
Alabama,10,High,Jan-27-2018,4
Alabama,10,High,Feb-03-2018,5
Alabama,10,High,Feb-10-2018,6
Alabama,10,High,Feb-17-2018,7
Alabama,10,High,Feb-24-2018,8
Alabama,7,Moderate,Mar-03-2018,9
Alabama,5,Low,Mar-10-2018,10
Alabama,4,Low,Mar-17-2018,11
Alabama,4,Low,Mar-24-2018,12
Alabama,3,Minimal,Mar-31-2018,13
Alabama,2,Minimal,Apr-07-2018,14
Alabama,1,Minimal,Apr-14-2018,15
Alabama,1,Minimal,Apr-21-2018,16
Alabama,1,Minimal,Apr-28-2018,17
Alabama,2,Minimal,Oct-07-2017,40
Alabama,2,Minimal,Oct-14-2017,41
Alabama,2,Minimal,Oct-21-2017,42
Alabama,3,Minimal,Oct-28-2017,43
Alabama,4,Low,Nov-04-2017,44
Alabama,4,Low,Nov-11-2017,45
Alabama,5,Low,Nov-18-2017,46
Alabama,5,Low,Nov-25-2017,47
Alabama,5,Low,Dec-02-2017,48
Alabama,7,Moderate,Dec-09-2017,49
Alabama,10,High,Dec-16-2017,50
Alabama,10,High,Dec-23-2017,51
Alabama,10,High,Dec-30-2017,52
Alaska,6,Moderate,Jan-06-2018,1
Alaska,6,Moderate,Jan-13-2018,2
Alaska,6,Moderate,Jan-20-2018,3
Alaska,8,High,Jan-27-2018,4
Alaska,10,High,Feb-03-2018,5
Alaska,10,High,Feb-10-2018,6
Alaska,10,High,Feb-17-2018,7
Alaska,10,High,Feb-24-2018,8
Alaska,10,High,Mar-03-2018,9
Alaska,10,High,Mar-10-2018,10
Alaska,10,High,Mar-17-2018,11
Alaska,10,High,Mar-24-2018,12
Alaska,10,High,Mar-31-2018,13
Alaska,10,High,Apr-07-2018,14
Alaska,7,Moderate,Apr-14-2018,15
Alaska,7,Moderate,Apr-21-2018,16
Alaska,4,Low,Apr-28-2018,17
Alaska,1,Minimal,Oct-07-2017,40
Alaska,2,Minimal,Oct-14-2017,41
Alaska,4,Low,Oct-21-2017,42
Alaska,3,Minimal,Oct-28-2017,43
Alaska,2,Minimal,Nov-04-2017,44
Alaska,2,Minimal,Nov-11-2017,45
Alaska,4,Low,Nov-18-2017,46
Alaska,4,Low,Nov-25-2017,47
Alaska,5,Low,Dec-02-2017,48
Alaska,6,Moderate,Dec-09-2017,49
Alaska,5,Low,Dec-16-2017,50
Alaska,6,Moderate,Dec-23-2017,51
Alaska,7,Moderate,Dec-30-2017,52
Arizona,10,High,Jan-06-2018,1
Arizona,10,High,Jan-13-2018,2
Arizona,10,High,Jan-20-2018,3
Arizona,10,High,Jan-27-2018,4
Arizona,10,High,Feb-03-2018,5
Arizona,10,High,Feb-10-2018,6
Arizona,10,High,Feb-17-2018,7
Arizona,10,High,Feb-24-2018,8
Arizona,9,High,Mar-03-2018,9
Arizona,8,High,Mar-10-2018,10
Arizona,7,Moderate,Mar-17-2018,11
Arizona,6,Moderate,Mar-24-2018,12
Arizona,6,Moderate,Mar-31-2018,13
Arizona,5,Low,Apr-07-2018,14
Arizona,6,Moderate,Apr-14-2018,15
Arizona,5,Low,Apr-21-2018,16
Arizona,5,Low,Apr-28-2018,17
Arizona,2,Minimal,Oct-07-2017,40
Arizona,2,Minimal,Oct-14-2017,41
Arizona,1,Minimal,Oct-21-2017,42
Arizona,2,Minimal,Oct-28-2017,43
Arizona,3,Minimal,Nov-04-2017,44
Arizona,3,Minimal,Nov-11-2017,45
Arizona,3,Minimal,Nov-18-2017,46
Arizona,3,Minimal,Nov-25-2017,47
Arizona,6,Moderate,Dec-02-2017,48
Arizona,6,Moderate,Dec-09-2017,49
Arizona,10,High,Dec-16-2017,50
Arizona,10,High,Dec-23-2017,51
Arizona,10,High,Dec-30-2017,52
Arkansas,10,High,Jan-06-2018,1
Arkansas,10,High,Jan-13-2018,2
Arkansas,10,High,Jan-20-2018,3
Arkansas,10,High,Jan-27-2018,4
Arkansas,10,High,Feb-03-2018,5
Arkansas,10,High,Feb-10-2018,6
Arkansas,10,High,Feb-17-2018,7
Arkansas,10,High,Feb-24-2018,8
Arkansas,9,High,Mar-03-2018,9
Arkansas,5,Low,Mar-10-2018,10
Arkansas,4,Low,Mar-17-2018,11
Arkansas,2,Minimal,Mar-24-2018,12
Arkansas,1,Minimal,Mar-31-2018,13
Arkansas,1,Minimal,Apr-07-2018,14
Arkansas,1,Minimal,Apr-14-2018,15
Arkansas,1,Minimal,Apr-21-2018,16
Arkansas,2,Minimal,Apr-28-2018,17
Arkansas,1,Minimal,Oct-07-2017,40
Arkansas,1,Minimal,Oct-14-2017,41
Arkansas,1,Minimal,Oct-21-2017,42
Arkansas,1,Minimal,Oct-28-2017,43
Arkansas,1,Minimal,Nov-04-2017,44
Arkansas,1,Minimal,Nov-11-2017,45
Arkansas,3,Minimal,Nov-18-2017,46
Arkansas,1,Minimal,Nov-25-2017,47
Arkansas,4,Low,Dec-02-2017,48
Arkansas,8,High,Dec-09-2017,49
Arkansas,10,High,Dec-16-2017,50
Arkansas,10,High,Dec-23-2017,51
Arkansas,10,High,Dec-30-2017,52
California,10,High,Jan-06-2018,1
California,10,High,Jan-13-2018,2
California,8,High,Jan-20-2018,3
California,8,High,Jan-27-2018,4
California,9,High,Feb-03-2018,5
California,8,High,Feb-10-2018,6
California,8,High,Feb-17-2018,7
California,7,Moderate,Feb-24-2018,8
California,8,High,Mar-03-2018,9
California,6,Moderate,Mar-10-2018,10
California,6,Moderate,Mar-17-2018,11
California,5,Low,Mar-24-2018,12
California,4,Low,Mar-31-2018,13
California,4,Low,Apr-07-2018,14
California,2,Minimal,Apr-14-2018,15
California,2,Minimal,Apr-21-2018,16
California,1,Minimal,Apr-28-2018,17
California,2,Minimal,Oct-07-2017,40
California,1,Minimal,Oct-14-2017,41
California,1,Minimal,Oct-21-2017,42
California,1,Minimal,Oct-28-2017,43
California,2,Minimal,Nov-04-2017,44
California,2,Minimal,Nov-11-2017,45
California,2,Minimal,Nov-18-2017,46
California,3,Minimal,Nov-25-2017,47
California,2,Minimal,Dec-02-2017,48
California,4,Low,Dec-09-2017,49
California,7,Moderate,Dec-16-2017,50
California,10,High,Dec-23-2017,51
California,10,High,Dec-30-2017,52
Colorado,8,High,Jan-06-2018,1
Colorado,7,Moderate,Jan-13-2018,2
Colorado,7,Moderate,Jan-20-2018,3
Colorado,8,High,Jan-27-2018,4
Colorado,10,High,Feb-03-2018,5
Colorado,9,High,Feb-10-2018,6
Colorado,8,High,Feb-17-2018,7
Colorado,8,High,Feb-24-2018,8
Colorado,6,Moderate,Mar-03-2018,9
Colorado,5,Low,Mar-10-2018,10
Colorado,4,Low,Mar-17-2018,11
Colorado,3,Minimal,Mar-24-2018,12
Colorado,2,Minimal,Mar-31-2018,13
Colorado,2,Minimal,Apr-07-2018,14
Colorado,1,Minimal,Apr-14-2018,15
Colorado,1,Minimal,Apr-21-2018,16
Colorado,2,Minimal,Apr-28-2018,17
Colorado,1,Minimal,Oct-07-2017,40
Colorado,1,Minimal,Oct-14-2017,41
Colorado,1,Minimal,Oct-21-2017,42
Colorado,1,Minimal,Oct-28-2017,43
Colorado,2,Minimal,Nov-04-2017,44
Colorado,2,Minimal,Nov-11-2017,45
Colorado,2,Minimal,Nov-18-2017,46
Colorado,3,Minimal,Nov-25-2017,47
Colorado,3,Minimal,Dec-02-2017,48
Colorado,4,Low,Dec-09-2017,49
Colorado,5,Low,Dec-16-2017,50
Colorado,6,Moderate,Dec-23-2017,51
Colorado,7,Moderate,Dec-30-2017,52
Connecticut,4,Low,Jan-06-2018,1
Connecticut,5,Low,Jan-13-2018,2
Connecticut,9,High,Jan-20-2018,3
Connecticut,10,High,Jan-27-2018,4
Connecticut,10,High,Feb-03-2018,5
Connecticut,10,High,Feb-10-2018,6
Connecticut,10,High,Feb-17-2018,7
Connecticut,10,High,Feb-24-2018,8
Connecticut,9,High,Mar-03-2018,9
Connecticut,5,Low,Mar-10-2018,10
Connecticut,3,Minimal,Mar-17-2018,11
Connecticut,5,Low,Mar-24-2018,12
