Name,logobg,Country,City,State,ProductType,ImpactArea,logofile,Contact,Funding,Website,Stage,Active,AwardDate,AwardEndDate,ProductName,Description,Disruption,CostShare,lat,lon,News
EnLiSense,n,United States,Allen,TX,Device / Diagnostic,ENACT,EnLiSense_black_on_transparent.png,PR@enlisense.com,550909,https://enlisense.com/,TRL 4 - Optimization,Y,9/14/18,9/30/21,SWEATSENSER Dx,Leveraging sweat to tell you you're sick before you feel sick.,"DRIVe is partnering with EnLiSense to develop tools to empower individuals with critical information about their health status. This is part of ENACT's goal to disrupt healthcare by bringing diagnostics out of healthcare settings, enabling early information to individuals to take action to protect their health, and the health of those in their community.",236104,33.103516,-96.678363,Enlicense_announcement
Spire Health,n,United States,San Francisco,CA,Device / Diagnostic,ENACT,Spire_Logo.png,media@spirehealth.com,112182,https://spire.io/pages/spire-health-tag-main,TRL 6 - System Integration and Testing,Y,9/20/18,11/30/19,Health Tag,"Wear and forget health tracker that invisibly monitors respiration, heart rate, sleep, and other markers.","Most trackers miss certain time periods throughout the day, but these washable Health Tags stick to your clothes letting you monitor your health nearly 24/7.",48078,37.764477,-122.4133,Spire_announcement
InnaMed,n,United States,Philadelphia,PA,Device / Diagnostic,Sepsis,InnaMed_Logo.png,founders@innamed.com,200000,https://www.innamed.com/,TRL 4 - Optimization,Y,10/28/19,10/28/19,Sepsis Biomarker Detection Assay,Optimization and Validation of an electrochemical proximity assay to detect a sepsis biomarker.,"InnaMed is using a recently identified sepsis biomarker with the potential to facilitate early, accurate sepsis diagnosis and stratify sepsis severity for individualized treatment. InnaMed is using their novel technology to develop an inexpensive, easy to use, point of care device for use in both hospital and community settings.",85750,39.955805,-75.195345,InnaMed_announcement
Prenosis,n,United States,Chicago,IL,Other,Sepsis,Prenosis_Logo.png,info@prenosis.com,749000,http://prenosis.com/,TRL 4 - Optimization,Y,9/27/18,9/28/19,Predictive Analytic Assay,Validation of sepsis biomarker assays with the potential to incorporate into a point of care device,"Prenosis is changing the landscape of sepsis diagnosis. Validation of their unique set of sepsis biomarkers brings us one step closer to a rapid, comprehensive point of care device poised to deliver accurate sepsis prediction, early diagnosis, and informed individualized treatment.",323012,41.831435,-87.627774,Prenosis_announcement
Cytovale,n,United States,San Francisco,CA,Device / Diagnostic,Sepsis,cytovale_logo.png,info@Cytovale.com,749000,http://cytovale.com/,TRL 5 - Product Development,Y,11/14/18,10/31/19,SeptiScan System,Novel microfluidic device to measure biophysical changes in immune cells from blood samples,"Early, accurate diagnosis of sepsis will save lives. Cytovale's SeptiScan system is inexpensive, easy to use, and delivers results in less than 10 minutes.",648200,37.711156,-122.393321,CytoVale_announcement
Biobeat,n,Israel,Petach Tikva,Mehoz HaMerkaz,Device / Diagnostic,ENACT,biobeat_logo.png,info@bio-beat.com,599000,http://www.biobeat.cloud/,TRL 8 - Pivotal Clinical Studies and Regulatory Approval,Y,12/6/18,12/5/20,Biobeat Wrist Watch,Wrist-watch style device the monitors your biomarkers and could alert you if you're getting sick,An FDA-cleared monitoring device that empowers individuals by predicting pathogen exposures prior to symptoms,385800,32.086921,34.852991,Biobeat_announcement
Emory University,n,United States,Atlanta,GA,Device / Diagnostic,Sepsis,Emory_logo.jpg,jmchris@emory.edu,699376,http://nematilab.info/,TRL 6 - System Integration and Testing,Y,1/22/19,12/15/20,DeepAISE,DeepAISE algorithm for sepsis,"The ability to predict sepsis before onset would prevent life threatening damage to vital organs and save lives. Emory is developing a machine learning algorithm with a goal to  achieve FDA clearance as software as a medical device to predict sepsis that, once integrated into hospital ICU systems, would allow for earlier intervention by physicians.",348400,33.792453,-84.324053,Emory_announcement
Sepsis Alliance,n,United States,San Diego,CA,Other,Sepsis,SA_logo.png,aestrada@sepsis.org,547248,https://www.sepsis.org/,NA,Y,1/29/19,11/31/20,Sepsis Institute,Life-saving sepsis education and training modules across the continuum of care,High-quality training modules specifically for health care providers - including NDMS teams - will raise sepsis awareness among the individuals best placed to positively impact sepsis outcomes,234534,32.729979,-117.164091,Sepsis_announcement
Immunexpress,n,United States,Seattle,WA,Device / Diagnostic,Sepsis,Immunexpress_logo.png,Maggie.beller@russopartnersllc.com,744739,http://www.immunexpress.com/,TRL 5 - Product Development,Y,1/31/19,2/14/21,SeptiCyte,Development of condensed biomarker panel for diagnosis of sepsis,"The SeptiCyte diagnostic may have the ability to distinguish between sepsis and other inflammatory conditions, giving a definitive sepsis diagnosis hours before clinical signs, saving lives by allowing early treatment.",2458929,47.623226,-122.332105,Immune_announcement
Empatica,n,United States,Cambridge,MA,Device / Diagnostic,ENACT,Empatica_logo.png,press@empatica.com,251454,https://www.empatica.com/,TRL 4 - Optimization,Y,1/24/19,8/31/20,Embrace2 Smartband Algorithm Enhancements,Use physiological parameters captured by Empatica's smartband to potentially predict illness using enhanced machine learning,The Embrace2 utilizes multiple physiological parameters to rapidly detect patterns that could predict respiratory infections and exposures to pathogens before signs of illness are apparent and alert users and caregivers.,205735,42.362977,-71.083918,Empatica_announcement
Qvella,n,United States,Carlsbad,CA,Device / Diagnostic,Sepsis,Qvella_logo.png,LisaG@Qvella.com,692236,https://www.qvella.com/,TRL 3 - Feasibility Demonstration,Y,2/11/19,2/28/21,FAST-HR Assay for Sepsis,Expansion of FAST-ID platform to include host biomarkers for diagnosis of sepsis and infection,"Groundbreaking dianostic tech to diagnose infection in patients suspected of sepsis with assay results in 60 minutes. Rapid, accurate diagnosis will save lives and improve patient outcomes.",296673,33.118207,-117.278585,Qvella_announcement
Enesi,n,United Kingdom,Abingdon,Oxfordshire,Drug / Pharmaceutical,BTN,Enesi_logo.png,enquiries@enesipharma.com,688863,https://www.enesipharma.com/,TRL 5 - Demonstration,Y,4/10/19,10/31/20,ImplaVax,Analytical and pre-clinical evaluation of novel ImplaVax-enabled solid dose implant formulations of marketed influenza vaccines in validated models,"Through simple but robust needle-free vaccine delivery system, ImplaVax has the potential to become a cost-effective innovation that could improve influenza vaccination update, coverage, and compliance, and provide unsurpassed health security in the face of seasonal or pandemic influenza outbreaks.",295227,51.623753,-1.290546,enesi_announcement
Janus-I Science,n,United States,Vista,CA,Device / Diagnostic,BTN,Janus_logo.png,admin@jiscience.com,710619,https://jiscience.com/,TRL 3 - Feasibility Demonstration,Y,4/15/19,10/14/20,Diagnostic Assay using Direct RNA Sequencing,"Development of a simple nanopore sequencing-based platform that can identify unknown viruses in clinical specimen and detect host responses, enabling identification of the causative agent of a viral infection and providing host response information without having any preconceived notions about the virus(es) involved.","This project has the potential to revolutionize diagnostic testing by enabling a truly agnostic prognostic diagnostic, based on nanopore sequencing technologies, to be integrated into patient-care settings, informing caregivers to begin appropriate treatement and intervention at the earliest possible time point, saving lives and reducing morbidity.",304560,33.137179,-117.222506,janus_announcement
Biobeat,n,Israel,Petach Tikva,Mehoz HaMerkaz,Other,ENACT,biobeat_logo.png,info@bio-beat.com,89250,http://www.biobeat.cloud/,TRL 6 - System Integration and Testing,Y,12/5/20,1/20/20,Biobeat Influenza Human Challenge Study,The use of a wearable device to continuously capture clinical endpoints can lead to better technologies alert users prior to symptom onset.,"By leveraging the Biobeat wearable device in an Influenza Vaccine IND Human Challenge study, DRIVe aims to overcome significant challenges associated with patient reported outcomes as well as collect key health signatures in the earliest stages of disease.",25250,32.086921,34.852991,
Evidation Health,n,United States,San Mateo,CA,Other,ENACT,evidation_logo.png,press@evidation.com,749898,https://evidation.com,TRL 6 - System Integration and Testing,Y,6/25/19,1/31/21,Evidation Novel Data Collection and Analysis,Leverage the Evidation research platform utilizing patient-generated health to improve infectious disease prediction and enhance capabilities to detect respiratory infections prior to the onset of symptoms,This technology has the potential to enable Americans to monitor their respiratory disease symptoms and take precautions against spreading such diseases - days before symptoms appear,585750,37.565818,-122.324512,evidation_announcement
University of California San Diego,n,United States,La Jolla,CA,Device / Diagnostic,ENACT,ucsd-brand-logo.png,ucpa-general@ucsd.edu,557340,https://sites.google.com/view/lerman-lab/home,TRL 3 - Feasibility Demonstration,Y,8/1/19,1/31/21,In-Vivo Vagus Sentinels to Detect and Prevent Infection,"Non-invasive, continuous monitoring of host-response through measurements of vagus nerve firing patterns can lead to development of novel diagnostic monitoring systems on the user or in the home.","In the near future, this technology will provide Americans continuous monitoring to alert them of potential exposures to pathogens. This allows interventions against progression of disease potentially days before symptoms appear.",238860,32.87526317,-117.2361324,ucsd_announcement
