County,CountyCode,Deaths,Population,CrudeRate,AgeAdjustedRate,%TotalDeaths
"Autauga County, AL",1001,395,918492,43.01,49.39,0.01%
"Baldwin County, AL",1003,1289,3102984,41.54,35.1,0.05%
"Barbour County, AL",1005,248,499262,49.67,46.29,0.01%
"Bibb County, AL",1007,229,397470,57.61,58.27,0.01%
"Blount County, AL",1009,719,997531,72.08,68.63,0.03%
"Bullock County, AL",1011,116,197588,58.71,52.64,0.00%
"Butler County, AL",1013,271,374201,72.42,55.39,0.01%
"Calhoun County, AL",1015,1724,2073654,83.14,76.2,0.06%
"Chambers County, AL",1017,413,628820,65.68,53.06,0.02%
"Cherokee County, AL",1019,341,454744,74.99,63.18,0.01%
"Chilton County, AL",1021,484,762303,63.49,62.39,0.02%
"Choctaw County, AL",1023,155,258214,60.03,48.01,0.01%
"Clarke County, AL",1025,252,472616,53.32,45.93,0.01%
"Clay County, AL",1027,206,250712,82.17,62.33,0.01%
"Cleburne County, AL",1029,207,263977,78.42,68.89,0.01%
"Coffee County, AL",1031,421,856929,49.13,44.34,0.02%
"Colbert County, AL",1033,622,980619,63.43,50.07,0.02%
"Conecuh County, AL",1035,148,240029,61.66,49,0.01%
"Coosa County, AL",1037,145,205706,70.49,59.26,0.01%
"Covington County, AL",1039,683,675056,101.18,72.91,0.03%
"Crenshaw County, AL",1041,209,248758,84.02,64.59,0.01%
"Cullman County, AL",1043,818,1430571,57.18,50.05,0.03%
"Dale County, AL",1045,371,891078,41.63,41.63,0.01%
"Dallas County, AL",1047,688,789694,87.12,81.01,0.03%
"DeKalb County, AL",1049,786,1237389,63.52,60.08,0.03%
"Elmore County, AL",1051,584,1353407,43.15,46.74,0.02%
"Escambia County, AL",1053,421,683727,61.57,55.29,0.02%
"Etowah County, AL",1055,1700,1864049,91.2,76.08,0.06%
"Fayette County, AL",1057,273,316242,86.33,66.04,0.01%
"Franklin County, AL",1059,372,563568,66.01,59.57,0.01%
"Geneva County, AL",1061,235,473304,49.65,38.71,0.01%
"Greene County, AL",1063,134,167097,80.19,63.96,0.00%
"Hale County, AL",1065,201,291975,68.84,60.42,0.01%
"Henry County, AL",1067,171,304327,56.19,42.96,0.01%
"Houston County, AL",1069,750,1751027,42.83,39.52,0.03%
"Jackson County, AL",1071,521,959028,54.33,48.15,0.02%
"Jefferson County, AL",1073,8348,11848682,70.46,64.43,0.31%
"Lamar County, AL",1075,238,266614,89.27,67.44,0.01%
"Lauderdale County, AL",1077,920,1631805,56.38,45.73,0.03%
"Lawrence County, AL",1079,327,614539,53.21,51.55,0.01%
"Lee County, AL",1081,818,2420055,33.8,46.03,0.03%
"Limestone County, AL",1083,584,1404158,41.59,44.51,0.02%
"Lowndes County, AL",1085,128,214046,59.8,58.51,0.00%
"Macon County, AL",1087,276,392006,70.41,65.05,0.01%
"Madison County, AL",1089,2584,5711502,45.24,48.33,0.10%
"Marengo County, AL",1091,240,382441,62.75,50.32,0.01%
"Marion County, AL",1093,404,551316,73.28,55.64,0.02%
"Marshall County, AL",1095,1021,1606785,63.54,58.64,0.04%
"Mobile County, AL",1097,4488,7320274,61.31,61.15,0.17%
"Monroe County, AL",1099,270,417600,64.66,55.48,0.01%
"Montgomery County, AL",1101,2208,4068324,54.27,55.36,0.08%
"Morgan County, AL",1103,1198,2090840,57.3,55.33,0.04%
"Perry County, AL",1105,134,193641,69.2,56.6,0.00%
